n,k,max_items,max_items/log logn,max_items/(log n/ log log n),standard Deviation
1000,1,5,2.587128359524534,1.3988949056985427,1.0276186062932104
1000,2,3,1.5522770157147203,0.8393369434191257,0.7113367697511496
1000,3,2,1.0348513438098137,0.5595579622794171,0.589915248150105
10000,1,8,3.603073194926163,1.9285513600548512,1.0017983829094554
10000,2,3,1.3511524480973112,0.7232067600205692,0.7058328414008518
10000,3,3,1.3511524480973112,0.7232067600205692,0.5954829972383763
100000,1,8,3.274031941843986,1.697897108856771,1.0018682548119788
100000,2,4,1.637015970921993,0.8489485544283855,0.702381662630795
100000,3,3,1.2277619781914946,0.6367114158212891,0.59455865984779
1000000,1,9,3.427537403243163,1.7105504086246606,1.0004988755615871
1000000,2,4,1.5233499569969613,0.7602446260554047,0.7040355104680445
1000000,3,3,1.142512467747721,0.5701834695415535,0.5959697978924771
